file,duration,sample_rate,rms,peak,clipping_ratio,speech_ratio,silence_ratio,snr_estimate_db,decay_slope_db_per_s,spectral_centroid_hz,rolloff85_hz,tier
asr_final_20260810_122809_385.wav,2.96,16000,0.088308,0.7973,0.0,0.8707,0.1293,80.94,,801.4,1286.5,likely_quiet
asr_final_20260810_122822_599.wav,2.96,16000,0.085633,0.6813,0.0,0.8537,0.1463,48.97,168.2,780.8,1253.4,likely_quiet
asr_final_20260810_122941_956.wav,2.96,16000,0.075925,0.6615,0.0,0.8401,0.1599,48.5,-130.0,862.2,1341.2,likely_quiet
asr_final_20260810_123024_833.wav,2.96,16000,0.091269,0.6497,0.0,0.7687,0.2313,19.64,181.7,746.7,838.9,likely_farfield_or_muffled
asr_final_20260810_123513_727.wav,2.96,16000,0.117651,0.9983,0.0,0.4422,0.5578,18.26,17.4,760.1,944.6,likely_farfield_or_muffled
asr_final_20260810_124016_837.wav,2.96,16000,0.164896,0.9999,0.000106,0.6565,0.3435,39.68,-80.5,831.9,1173.3,likely_quiet
asr_final_20260810_124245_154.wav,2.96,16000,0.24316,1.0,0.00019,0.8469,0.1531,41.1,169.5,722.2,863.9,likely_quiet
asr_final_20260810_124247_954.wav,2.56,16000,0.206142,1.0,0.000195,0.6181,0.3819,19.67,18.3,693.9,713.3,likely_farfield_or_muffled
asr_final_20260810_124612_036.wav,5.52,16000,0.105296,0.9998,2.3e-05,0.6327,0.3673,24.47,43.1,593.1,731.5,likely_quiet
asr_final_20260810_125747_225.wav,5.264,16000,0.112859,0.9992,1.2e-05,0.7061,0.2939,22.87,143.5,658.2,730.4,likely_quiet
asr_final_20260810_125832_287.wav,5.776,16000,0.106378,0.9999,1.1e-05,0.7135,0.2865,35.59,115.1,944.9,1405.1,likely_quiet
asr_final_20260810_125846_610.wav,2.96,16000,0.094714,0.6532,0.0,0.6122,0.3878,12.63,18.9,590.0,791.6,likely_farfield_or_muffled
asr_final_20260810_125849_475.wav,2.56,16000,0.058773,0.5411,0.0,0.4843,0.5157,47.2,-101.4,655.8,790.6,likely_quiet
asr_final_20260810_125853_872.wav,2.96,16000,0.070466,0.6393,0.0,0.5782,0.4218,39.75,-11.6,503.6,633.4,likely_quiet
asr_final_20260810_130704_832.wav,2.96,16000,0.047833,0.697,0.0,0.4592,0.5408,41.65,87.3,592.7,692.2,likely_quiet
asr_final_20260810_130718_918.wav,2.96,16000,0.064863,0.9961,0.0,0.1633,0.8367,49.99,-147.4,927.0,1287.8,likely_quiet
asr_final_20260810_130731_944.wav,2.96,16000,0.05684,1.0,2.1e-05,0.2143,0.7857,50.76,-90.6,641.4,859.1,likely_quiet
asr_final_20260810_130749_075.wav,5.008,16000,0.149008,1.0,7.5e-05,0.511,0.489,47.14,-63.1,746.1,939.7,likely_quiet
asr_final_20260810_131049_489.wav,2.96,16000,0.053416,0.6225,0.0,0.5442,0.4558,16.77,6.9,759.4,1337.5,likely_farfield_or_muffled
asr_final_20260810_131156_428.wav,2.96,16000,0.091126,0.9978,0.0,0.5986,0.4014,49.63,-181.0,472.3,578.7,likely_quiet
asr_final_20260810_131452_440.wav,2.96,16000,0.078777,1.0,4.2e-05,0.5272,0.4728,31.89,23.2,653.1,747.6,likely_quiet
asr_final_20260810_131705_862.wav,2.96,16000,0.05582,0.5547,0.0,0.6259,0.3741,49.44,-406.1,746.3,1155.1,likely_quiet
